index,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm,Date,year,month
69,93030,61,0,0,0,0,6,22,19,14,0,0,1994-02-07,1994,2
70,93031,51,0,0,0,1,8,26,15,1,0,0,1994-02-13,1994,2
71,93032,50,0,0,0,2,10,23,11,4,0,0,1994-02-13,1994,2
72,93033,50,0,0,0,0,9,21,20,0,0,0,1994-02-13,1994,2
73,93034,51,0,0,0,1,7,19,20,4,0,0,1994-02-13,1994,2
74,93035,52,0,0,0,0,10,22,18,2,0,0,1994-02-13,1994,2
75,93036,63,0,0,0,3,21,28,7,4,0,0,1994-02-18,1994,2
76,93037,50,0,0,0,2,13,21,13,1,0,0,1994-02-18,1994,2
77,93038,50,0,0,0,2,9,13,15,11,0,0,1994-02-18,1994,2
78,93039,52,0,0,0,0,3,30,15,4,0,0,1994-02-18,1994,2
79,93040,53,0,0,0,0,15,25,11,2,0,0,1994-02-18,1994,2
80,94001,59,0,0,0,0,7,35,17,0,0,0,1995-01-11,1995,1
81,94002,6,0,0,0,0,2,4,0,0,0,0,1995-01-11,1995,1
82,94003,26,0,0,0,1,4,17,4,0,0,0,1995-01-11,1995,1
83,94004,59,0,0,0,3,18,29,9,0,0,0,1995-01-11,1995,1
84,94005,50,0,0,3,11,24,12,0,0,0,0,1995-01-11,1995,1
85,94006,51,0,0,4,9,21,13,4,0,0,0,1995-01-17,1995,1
86,94007,13,0,0,0,1,5,7,0,0,0,0,1995-01-17,1995,1
87,94008,57,0,0,4,2,14,27,10,0,0,0,1995-01-17,1995,1
88,94009,28,0,0,0,0,0,11,17,0,0,0,1995-01-17,1995,1
89,94010,71,0,1,1,2,17,27,22,1,0,0,1995-01-17,1995,1
90,94011,27,0,0,0,0,3,9,15,0,0,0,1995-01-22,1995,1
91,94012,59,0,0,0,1,8,33,16,1,0,0,1995-01-22,1995,1
92,94013,52,0,0,0,3,9,26,13,1,0,0,1995-01-22,1995,1
93,94014,52,0,0,0,0,8,24,17,3,0,0,1995-01-22,1995,1
94,94015,51,0,0,0,4,12,17,18,0,0,0,1995-01-22,1995,1
95,94016,49,0,0,0,0,2,14,31,2,0,0,1995-01-27,1995,1
96,94017,55,0,0,0,1,3,24,22,5,0,0,1995-01-27,1995,1
97,94018,65,0,0,0,0,2,29,30,4,0,0,1995-01-27,1995,1
98,94019,67,0,0,1,0,3,17,38,8,0,0,1995-01-27,1995,1
99,94020,50,0,0,0,2,12,19,14,3,0,0,1995-01-27,1995,1
100,94021,54,0,0,0,0,0,9,36,8,1,0,1995-02-02,1995,2
101,94022,51,0,0,0,1,5,22,19,3,1,0,1995-02-02,1995,2
102,94023,52,0,0,0,0,1,5,35,11,0,0,1995-02-02,1995,2
