site name,ccamlr region,longitude EPSG:4326,latitude EPSG:4326
Nokkelholmane Islands,58.4.2,39.4635,-69.3811
North Cape (d'Urville Island),48.1,-56.489,-62.974
Northeast of Smiggers Island,48.1,-65.346483,-65.451571
Northern Foothills (Terra Nova Bay),88.1,164.0,-74.75
North Point,48.2,-45.626,-60.672
Odbert Island,58.4.1,110.5421,-66.3742
Oldham Island,58.4.2,61.7253,-67.5208
Ongulkaven,58.4.2,39.4252,-69.0171
Outer Island,48.2,-45.5806,-60.7069
Pageant Point,48.2,-45.5843,-60.7286
Pantomime Point,48.2,-45.5833,-60.7266
Patella Island,48.1,-55.5238,-63.1294
Paulet Island,48.1,-55.7881,-63.5801
Peine Island (Comb Island),48.1,-54.717,-63.411
Penguin Island,48.1,-57.9269,-62.102
Penguin Point (Seymour Island),48.1,-56.7114,-64.3061
Peter I Island,88.3,-90.4917,-68.835
Petermann Island,48.1,-64.137,-65.176
Peterson Island,58.4.1,110.4993,-66.4665
Pink Pool Point,48.1,-54.079,-61.309
Plato Island (Platter Island),48.1,-54.6742,-63.433
Pleneau Island,48.1,-64.0556,-65.104
Point Geologie,58.4.1,140.01,-66.67
Point Martin,48.2,-44.7185,-60.7709
Point Thomas,48.1,-58.4615,-62.1631
Port Charcot,48.1,-64.026,-65.067
Port Martin,58.4.1,141.3997,-66.8113
Possession Island,88.1,171.1692,-71.8946
Powell Island,48.2,-45.029,-60.725
Proclamation Island,58.4.2,53.6876,-65.8424
Rauer Islands,58.4.2,77.6765,-68.8331
Red Island,48.1,-57.88,-63.7356
Red Rock Ridge,48.1,-67.1686,-68.2878
Rhyolite Island,48.1,-68.5709,-69.6488
Robinson,58.4.2,63.4596,-67.4543
Robinson (northwest),58.4.2,63.413,-67.4489
Robinson (southeast),58.4.2,63.4956,-67.4749
Rookery Islands,58.4.2,62.5099,-67.6044
Rumpa Island,58.4.2,39.3905,-69.1441
Sabrina Island,88.1,163.309,-66.9171
Saxum Nunatak,48.1,-56.0533,-63.1367
Scullin/Murray,58.4.2,66.6968,-67.7833
SE Fisher Bay,58.4.1,146.0809,-67.5949
Sentry Rocks,88.1,167.4046,-70.7543
SE Promontory,88.1,163.05,-66.65
Sheelagh Islands,58.4.2,50.1804,-66.5464
Shepard Island,88.2,-132.5519,-74.3773
Sheppard Nunatak,48.1,-57.0154,-63.3629
Sheppard Point,48.1,-56.9844,-63.3707
Shingle Cove (Coronation Island),48.2,-45.5636,-60.6469
Shirley/Beall,58.4.1,110.5,-66.283
Sigaren,58.4.2,39.4344,-69.1693
Sims Island,88.3,-78.5407,-73.2725
Smiggers Island,48.1,-65.3514,-65.4597
South of Martin Islands,48.1,-65.3381,-65.6881
Southwest Island (Aviation Islands),88.1,158.7833,-69.2666
Spindrift Rocks,48.2,-45.644,-60.683
Stanton Continental Rock,58.4.2,61.7175,-67.5342
Stanton unnamed,58.4.2,61.5978,-67.5078
Steines Island,58.4.2,76.5825,-69.3412
Stene Point,48.2,-45.707,-60.654
Stranger Point,48.1,-58.6161,-62.26
Sturge Island,88.1,164.633,-67.467
Sven Foyn Island,88.1,171.0695,-71.956
Svenner Islands,58.4.2,76.8346,-69.0341
Tay Head (Joinville Island),48.1,-55.5508,-63.3486
Tenmondai Rock,58.4.2,41.701,-68.4445
Thorgaut,58.4.2,63.5433,-67.4425
Three Sisters,48.1,-57.9135,-62.0779
Torgersen Island,48.1,-64.0741,-64.7731
Torinosu Cove,58.4.2,39.5667,-69.4833
Trundle Island,48.1,-65.2885,-65.3938
Tryne Islands,58.4.2,78.4125,-68.3809
Turret Point (King George Island),48.1,-57.9514,-62.0875
Ufs Island,58.4.2,61.1406,-67.4694
Unger Island (Unger Rock),88.1,166.919,-70.6811
Unnamed 2,58.4.2,63.5435,-67.4402
Unnamed 7,58.4.2,63.3336,-67.4475
Unnamed Island PE 2 North,58.4.2,77.7162,-68.9013
Unnnamed Island PE 1,58.4.2,77.7506,-68.767
Unnnamed Island PE 2,58.4.2,77.736,-68.9012
Unnnamed Island PE 3,58.4.2,78.211,-68.4419
Vestfold North,58.4.2,78.0954,-68.4842
Vestfold South,58.4.2,77.9227,-68.5883
Vieugue Island,48.1,-65.2144,-65.6682
Vortex Island,48.1,-57.6415,-63.7257
Watson Peninsula (east coast),48.2,-44.5436,-60.6761
Watt Bay,58.4.1,144.2854,-66.9949
Way Archipelago,58.4.1,143.5895,-66.8571
Weddell Island,48.2,-44.8479,-60.6359
Weller Island,48.1,-65.3817,-65.4453
Wideopen Islands,48.1,-55.8492,-63.0042
Winkle Island (two islets next to Winkle Island),48.1,-65.686,-65.52
Wood Bay,88.1,165.1332,-74.3299
Worley Point,88.2,-132.777,-74.4057
Wyatt Earp Islands,58.4.2,78.5385,-68.3569
Yalour Islands,48.1,-64.1564,-65.2389
Young Island,88.1,162.4,-66.4167
Ytrehovdeholmen,58.4.2,39.4333,-69.2167
