studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9798,1997-11-23,LIT,5,54
PAL9798,1997-11-23,LIT,6,86
PAL9798,1997-11-23,LIT,7,47
PAL9798,1997-11-23,LIT,8,111
PAL9798,1997-11-23,LIT,9,25
PAL9798,1997-11-24,HUM,1.1,3
PAL9798,1997-11-24,HUM,1.2,16
PAL9798,1997-11-24,HUM,1.3,0
PAL9798,1997-11-24,HUM,2.1,104
PAL9798,1997-11-24,HUM,2.2,48
PAL9798,1997-11-24,HUM,3,229
PAL9798,1997-11-24,HUM,3.1,5
PAL9798,1997-11-24,HUM,4,96
PAL9798,1997-11-24,HUM,5,226
PAL9798,1997-11-24,TOR,1,62
PAL9798,1997-11-24,TOR,2,9
PAL9798,1997-11-24,TOR,3,6
PAL9798,1997-11-24,TOR,4,143
PAL9798,1997-11-24,TOR,5,68
PAL9798,1997-11-24,TOR,6,44
PAL9798,1997-11-24,TOR,12,174
PAL9798,1997-11-24,TOR,13,167
PAL9798,1997-11-24,TOR,15,109
PAL9798,1997-11-24,TOR,17,6
PAL9798,1997-11-24,TOR,18,214
PAL9798,1997-11-24,TOR,19,399
PAL9798,1997-11-24,TOR,20,140
PAL9798,1997-11-24,TOR,21,76
PAL9798,1997-11-24,TOR,22,39
PAL9798,1997-11-24,TOR,23,187
PAL9798,1997-11-24,TOR,23.1,14
PAL9798,1997-11-26,COR,1,3
PAL9798,1997-11-26,COR,3,40
PAL9798,1997-11-26,COR,4,11
PAL9798,1997-11-26,COR,5,216
PAL9798,1997-11-26,COR,5.1,89
PAL9798,1997-11-26,COR,6,51
PAL9798,1997-12-26,COR,2,82
PAL9899,1998-12-10,HUM,1.1,0
PAL9899,1998-12-10,HUM,1.2,0
PAL9899,1998-12-10,HUM,1.3,0
PAL9899,1998-12-10,HUM,2.1,94
PAL9899,1998-12-10,HUM,2.2,53
PAL9899,1998-12-10,HUM,3,224
PAL9899,1998-12-10,HUM,3.1,0
PAL9899,1998-12-10,HUM,4,89
PAL9899,1998-12-10,HUM,5,194
PAL9899,1998-12-10,LIT,1,8
PAL9899,1998-12-10,LIT,2,11
PAL9899,1998-12-10,LIT,3,0
PAL9899,1998-12-10,LIT,4,12
PAL9899,1998-12-10,LIT,5,47
PAL9899,1998-12-10,LIT,6,75
PAL9899,1998-12-10,LIT,7,38
PAL9899,1998-12-10,LIT,8,110
PAL9899,1998-12-10,LIT,9,24
PAL9899,1998-12-10,TOR,1,48
PAL9899,1998-12-10,TOR,2,0
PAL9899,1998-12-10,TOR,3,5
PAL9899,1998-12-10,TOR,4,110
PAL9899,1998-12-10,TOR,5,33
PAL9899,1998-12-10,TOR,6,26
PAL9899,1998-12-10,TOR,12,167
PAL9899,1998-12-10,TOR,13,125
PAL9899,1998-12-10,TOR,15,96
PAL9899,1998-12-10,TOR,17,3
PAL9899,1998-12-10,TOR,18,176
PAL9899,1998-12-10,TOR,19,407
PAL9899,1998-12-10,TOR,20,130
PAL9899,1998-12-10,TOR,21,35
PAL9899,1998-12-10,TOR,22,14
PAL9899,1998-12-10,TOR,23,151
PAL9899,1998-12-10,TOR,23.1,6
PAL9899,1998-12-16,CHR,1,133
PAL9899,1998-12-16,CHR,2,33
PAL9899,1998-12-16,CHR,3,52
PAL9899,1998-12-16,CHR,3.1,30
PAL9899,1998-12-16,CHR,4.1,4
PAL9899,1998-12-16,CHR,4.2,4
PAL9899,1998-12-16,CHR,5,28
PAL9899,1998-12-16,CHR,6,84
PAL9899,1998-12-16,CHR,7,244
PAL9899,1998-12-16,CHR,7.1,12
PAL9899,1998-12-16,CHR,7.2,52
PAL9899,1998-12-16,CHR,8,122
PAL9899,1998-12-16,CHR,9.1,35
PAL9899,1998-12-16,CHR,10,4
PAL9899,1998-12-16,COR,1,0
PAL9899,1998-12-16,COR,2,67
PAL9899,1998-12-16,COR,3,43
PAL9899,1998-12-16,COR,4,0
PAL9899,1998-12-16,COR,5,231
PAL9899,1998-12-16,COR,5.1,91
PAL9899,1998-12-16,COR,6,39
PAL9900,1999-11-17,HUM,1.1,0
PAL9900,1999-11-17,HUM,1.2,0
PAL9900,1999-11-17,HUM,1.3,0
PAL9900,1999-11-17,HUM,2.1,84
PAL9900,1999-11-17,HUM,2.2,55
PAL9900,1999-11-17,HUM,3,204
PAL9900,1999-11-17,HUM,3.1,0
PAL9900,1999-11-17,HUM,4,77
PAL9900,1999-11-17,HUM,5,185
PAL9900,1999-11-17,LIT,1,6
PAL9900,1999-11-17,LIT,2,11
PAL9900,1999-11-17,LIT,3,0
PAL9900,1999-11-17,LIT,4,12
PAL9900,1999-11-17,LIT,5,44
PAL9900,1999-11-17,LIT,6,78
PAL9900,1999-11-17,LIT,7,40
PAL9900,1999-11-17,LIT,8,95
PAL9900,1999-11-17,LIT,9,15
PAL9900,1999-11-17,TOR,1,55
PAL9900,1999-11-17,TOR,2,0
PAL9900,1999-11-17,TOR,3,2
PAL9900,1999-11-17,TOR,4,112
PAL9900,1999-11-17,TOR,5,35
PAL9900,1999-11-17,TOR,6,20
PAL9900,1999-11-17,TOR,12,175
PAL9900,1999-11-17,TOR,13,131
PAL9900,1999-11-17,TOR,15,98
PAL9900,1999-11-17,TOR,17,4
PAL9900,1999-11-17,TOR,18,199
PAL9900,1999-11-17,TOR,19,376
PAL9900,1999-11-17,TOR,20,130
PAL9900,1999-11-17,TOR,21,27
PAL9900,1999-11-17,TOR,22,12
PAL9900,1999-11-17,TOR,23,144
PAL9900,1999-11-17,TOR,23.1,3
PAL9900,1999-11-19,CHR,1,145
